Time [s];Acceleration [m/s²]
0.009090;-1.220620
0.009120;-0.561648
0.009150;-0.539284
0.009180;-0.851993
0.009210;-1.973833
0.009240;-3.290214
0.009270;-4.473604
0.009300;-5.306860
0.009330;-5.752185
0.009360;-5.764177
0.009390;-5.564688
0.009420;-5.223250
0.009450;-4.648527
0.009480;-3.670183
0.009510;-3.039221
0.009540;-2.391113
0.009570;-1.758576
0.009600;-1.190118
0.009630;-1.000626
0.009660;-0.967983
0.009690;-0.679932
0.009720;-0.086644
0.009750;0.065939
0.009780;-0.247646
0.009810;-1.204300
0.009840;-1.357576
0.009870;-1.257307
0.009900;-1.920772
0.009930;-1.966859
0.009960;-0.851590
0.009990;-0.244130
0.010020;0.110439
0.010050;0.805458
0.010080;1.575223
0.010110;1.699595
0.010140;1.779715
0.010170;1.869140
0.010200;1.541596
0.010230;1.531180
0.010260;2.494101
0.010290;2.828435
0.010320;2.639144
0.010350;2.385752
0.010380;0.855619
0.010410;0.979500
0.010440;0.689222
0.010470;1.163406
0.010500;3.437860
0.010530;4.009098
0.010560;4.796062
0.010590;4.920985
0.010620;3.951795
0.010650;3.578005
0.010680;2.320387
0.010710;1.157078
0.010740;1.728772
0.010770;1.081676
0.010800;1.264512
0.010830;2.197390
0.010860;2.768745
0.010890;3.972587
0.010920;4.305730
0.010950;3.897358
0.010980;3.133624
0.011010;1.860449
0.011040;0.959481
0.011070;0.413045
0.011100;-0.225410
0.011130;0.892171
0.011160;1.651216
0.011190;2.079634
0.011220;2.419843
0.011250;0.948453
0.011280;-1.864935
0.011310;-4.753736
0.011340;-7.727482
0.011370;-9.326273
0.011400;-8.876386
0.011430;-7.729197
0.011460;-5.400582
0.011490;-2.614861
0.011520;-0.798499
0.011550;-0.031191
0.011580;-0.747851
0.011610;-2.129452
0.011640;-4.031707
0.011670;-6.255424
0.011700;-7.374231
0.011730;-7.256956
0.011760;-6.828765
0.011790;-5.457179
0.011820;-4.020977
0.011850;-2.431611
0.011880;-1.843093
0.011910;-2.100738
0.011940;-2.337770
0.011970;-2.778645
0.012000;-3.267028
0.012030;-2.095088
0.012060;-1.081309
0.012090;-0.458647
0.012120;-0.430991
0.012150;-0.978166
0.012180;-1.545148
0.012210;-1.561945
0.012240;-0.763222
0.012270;0.841760
0.012300;1.970055
0.012330;2.765903
0.012360;2.891713
0.012390;2.119233
0.012420;1.454837
0.012450;1.003694
0.012480;0.736884
0.012510;0.922615
0.012540;1.468108
0.012570;1.407702
0.012600;1.366598
0.012630;1.299099
0.012660;1.182373
0.012690;1.028909
0.012720;1.621735
0.012750;2.995875
0.012780;3.938105
0.012810;4.522961
0.012840;5.183873
0.012870;5.374396
0.012900;4.781554
