Time [s];Acceleration [m/s²]
0.009150;-16.848286
0.009180;-15.454488
0.009210;-12.094508
0.009240;-6.020353
0.009270;0.951112
0.009300;7.524590
0.009330;12.784803
0.009360;15.572305
0.009390;15.087096
0.009420;11.390538
0.009450;5.038032
0.009480;-3.132427
0.009510;-10.871825
0.009540;-16.334115
0.009570;-18.818528
0.009600;-18.650537
0.009630;-15.919408
0.009660;-11.230791
0.009690;-5.816297
0.009720;-1.089689
0.009750;3.036734
0.009780;6.018224
0.009810;8.042340
0.009840;9.245148
0.009870;9.533223
0.009900;8.061260
0.009930;5.398667
0.009960;2.252657
0.009990;-1.780834
0.010020;-6.197161
0.010050;-9.433736
0.010080;-10.613643
0.010110;-9.792197
0.010140;-6.640919
0.010170;-2.029693
0.010200;3.304416
0.010230;8.962929
0.010260;13.729590
0.010290;16.407669
0.010320;16.869162
0.010350;15.557751
0.010380;12.884056
0.010410;8.733190
0.010440;4.347652
0.010470;0.081619
0.010500;-3.318952
0.010530;-5.713777
0.010560;-7.168506
0.010590;-7.553568
0.010620;-6.505655
0.010650;-4.433053
0.010680;-1.751561
0.010710;1.659873
0.010740;5.451063
0.010770;8.580288
0.010800;10.982830
0.010830;12.131676
0.010860;11.529982
0.010890;9.087748
0.010920;5.684633
0.010950;1.500253
0.010980;-3.146278
0.011010;-6.969956
0.011040;-9.309369
0.011070;-9.883796
0.011100;-8.557375
0.011130;-5.181888
0.011160;-0.478853
0.011190;4.625883
0.011220;9.176662
0.011250;12.588640
0.011280;14.313973
0.011310;14.193806
0.011340;11.787604
0.011370;7.215283
0.011400;1.648440
0.011430;-4.139852
0.011460;-9.708097
0.011490;-13.570442
0.011520;-14.751665
0.011550;-13.774105
0.011580;-11.029683
0.011610;-6.401786
0.011640;-1.013864
0.011670;3.112321
0.011700;5.526558
0.011730;5.906202
0.011760;4.408642
0.011790;1.441134
0.011820;-1.631960
0.011850;-4.304546
0.011880;-6.015081
0.011910;-6.750401
0.011940;-6.347802
0.011970;-5.395048
0.012000;-4.738275
0.012030;-4.467262
0.012060;-3.557657
0.012090;-2.319190
0.012120;-1.360087
0.012150;-0.045924
0.012180;1.997537
0.012210;3.591095
0.012240;3.947577
0.012270;2.991920
0.012300;0.769603
