Time [s];Acceleration [m/s²]
0.009090;0.038489
0.009120;0.093793
0.009150;-0.015254
0.009180;0.477010
0.009210;1.110389
0.009240;2.127739
0.009270;3.425643
0.009300;4.145061
0.009330;4.131172
0.009360;4.055077
0.009390;4.081804
0.009420;4.298549
0.009450;4.516736
0.009480;4.501385
0.009510;4.427705
0.009540;4.468876
0.009570;3.686485
0.009600;2.977726
0.009630;3.058687
0.009660;3.164663
0.009690;3.586162
0.009720;4.364453
0.009750;5.066536
0.009780;5.220443
0.009810;4.988022
0.009840;4.401194
0.009870;3.716055
0.009900;2.744640
0.009930;1.702176
0.009960;0.892115
0.009990;0.739198
0.010020;0.720872
0.010050;1.129520
0.010080;1.239475
0.010110;1.140467
0.010140;0.517116
0.010170;-0.122357
0.010200;-0.526427
0.010230;-0.491642
0.010260;0.157716
0.010290;1.244803
0.010320;2.444668
0.010350;2.974128
0.010380;2.618900
0.010410;0.888902
0.010440;-2.057671
0.010470;-6.221567
0.010500;-10.399250
0.010530;-13.780642
0.010560;-15.635579
0.010590;-15.512651
0.010620;-13.132709
0.010650;-8.653012
0.010680;-3.236548
0.010710;1.812945
0.010740;5.910715
0.010770;7.832633
0.010800;6.568334
0.010830;2.708607
0.010860;-2.543442
0.010890;-7.705841
0.010920;-11.857628
0.010950;-13.662314
0.010980;-12.453629
0.011010;-8.761656
0.011040;-3.860095
0.011070;0.505220
0.011100;3.308705
0.011130;4.352617
0.011160;3.161336
0.011190;0.441562
0.011220;-2.176985
0.011250;-3.778921
0.011280;-4.550243
0.011310;-3.609225
0.011340;-2.055503
0.011370;0.082493
0.011400;1.470351
0.011430;1.846013
0.011460;1.729127
0.011490;1.665806
0.011520;1.341570
0.011550;1.745782
0.011580;3.492013
0.011610;5.095930
0.011640;5.790050
0.011670;6.102087
0.011700;6.143081
0.011730;5.907774
0.011760;4.745582
0.011790;2.761425
0.011820;0.588417
0.011850;-1.046963
0.011880;-2.140701
0.011910;-2.004017
0.011940;-0.407259
0.011970;1.933924
0.012000;4.107306
0.012030;6.086775
0.012060;7.660715
0.012090;7.708227
0.012120;6.066126
0.012150;3.568767
0.012180;1.227642
0.012210;-0.689848
0.012240;-2.129067
0.012270;-2.888056
0.012300;-2.617547
0.012330;-1.762467
0.012360;-0.808886
0.012390;0.534608
0.012420;1.948866
0.012450;2.907305
0.012480;3.523367
0.012510;3.684230
0.012540;3.382270
0.012570;2.524730
0.012600;1.595146
0.012630;0.266929
0.012660;-1.168976
0.012690;-2.304021
0.012720;-3.403190
0.012750;-4.764410
0.012780;-5.949039
0.012810;-6.865953
0.012840;-7.560176
0.012870;-7.861370
0.012900;-7.472845
0.012930;-6.155649
0.012960;-4.494342
0.012990;-2.659682
0.013020;-1.070775
0.013050;0.556852
0.013080;1.292743
0.013110;0.842350
0.013140;-0.236192
0.013170;-1.572679
0.013200;-3.725669
0.013230;-6.208751
0.013260;-7.792881
0.013290;-8.538707
0.013320;-8.385457
0.013350;-6.367120
0.013380;-3.018178
0.013410;0.451252
0.013440;3.070559
0.013470;4.233868
0.013500;3.855008
0.013530;2.267144
0.013560;0.232024
0.013590;-1.618530
0.013620;-2.640239
0.013650;-2.411455
0.013680;-1.013902
0.013710;0.813592
0.013740;2.498723
0.013770;3.021929
0.013800;2.592441
0.013830;1.059080
0.013860;-1.271413
0.013890;-3.039062
0.013920;-2.788237
0.013950;-0.729817
0.013980;2.678752
0.014010;6.384924
0.014040;9.234328
0.014070;10.507939
0.014100;9.441626
0.014130;6.251435
0.014160;2.239723
0.014190;-0.659911
0.014220;-2.208190
0.014250;-1.827177
0.014280;-0.085090
0.014310;2.250537
0.014340;4.661857
0.014370;6.336987
0.014400;6.532220
0.014430;6.158363
0.014460;4.832048
0.014490;2.388282
0.014520;0.317711
0.014550;-0.561656
0.014580;-0.878924
0.014610;-0.176517
0.014640;1.581690
0.014670;3.149048
0.014700;4.274525
0.014730;4.904179
0.014760;4.401399
0.014790;3.202617
0.014820;1.712282
0.014850;0.150841
0.014880;-1.024110
0.014910;-1.350111
0.014940;-1.343126
0.014970;-0.883650
0.015000;0.544500
0.015030;1.636571
0.015060;1.583422
0.015090;0.787856
0.015120;-0.495799
0.015150;-2.635430
0.015180;-5.188493
0.015210;-7.623066
0.015240;-8.970426
0.015270;-9.271563
0.015300;-8.243802
0.015330;-5.820466
0.015360;-3.104203
0.015390;-1.386255
0.015420;-0.582182
0.015450;-0.925436
0.015480;-2.281948
0.015510;-4.429483
0.015540;-6.456079
0.015570;-7.768790
0.015600;-8.000659
0.015630;-7.260856
0.015660;-5.324891
0.015690;-2.648535
0.015720;-0.112771
0.015750;1.933100
0.015780;2.685468
0.015810;2.498289
0.015840;1.077950
0.015870;-1.345865
0.015900;-3.552407
0.015930;-5.096134
0.015960;-5.790535
0.015990;-5.181889
0.016020;-2.768828
0.016050;0.760825
0.016080;4.405381
0.016110;7.255612
0.016140;8.656009
0.016170;8.050981
0.016200;5.361032
0.016230;2.040807
0.016260;-0.667371
0.016290;-2.431542
0.016320;-3.055124
0.016350;-2.097108
0.016380;0.241248
0.016410;2.492122
0.016440;4.025334
0.016470;4.914068
0.016500;5.210064
0.016530;4.834907
0.016560;4.496577
0.016590;4.729952
0.016620;5.933399
0.016650;7.023327
0.016680;7.318288
0.016710;7.006089
0.016740;6.572833
0.016770;5.153425
0.016800;3.257678
0.016830;1.805363
0.016860;1.018300
0.016890;0.476334
0.016920;0.319289
0.016950;0.474320
0.016980;1.231251
0.017010;2.424948
0.017040;3.430215
0.017070;4.443686
0.017100;5.637852
0.017130;6.121435
0.017160;6.218690
0.017190;5.953487
0.017220;4.892962
0.017250;3.404916
0.017280;1.494223
0.017310;-0.216844
0.017340;-1.849063
0.017370;-3.066656
0.017400;-4.002192
0.017430;-3.996350
0.017460;-3.533699
0.017490;-2.740159
0.017520;-1.736987
0.017550;-0.712686
0.017580;-0.268229
0.017610;0.089466
0.017640;-0.107330
0.017670;-0.839128
0.017700;-1.668785
0.017730;-2.539295
0.017760;-3.385381
0.017790;-3.997137
0.017820;-4.204737
0.017850;-4.323769
0.017880;-4.378975
0.017910;-4.384524
0.017940;-4.565484
0.017970;-4.965285
0.018000;-5.915853
0.018030;-7.017439
0.018060;-8.050204
0.018090;-8.839410
0.018120;-8.869458
0.018150;-8.136372
0.018180;-6.215837
0.018210;-3.788940
0.018240;-1.193195
0.018270;0.625294
0.018300;1.218885
0.018330;0.694267
0.018360;-1.085436
0.018390;-3.256144
0.018420;-4.791602
0.018450;-5.314352
0.018480;-5.028000
0.018510;-3.245639
0.018540;-0.756232
0.018570;1.081720
0.018600;2.117305
0.018630;2.000025
0.018660;1.295580
0.018690;0.298791
0.018720;-0.424023
0.018750;-0.201551
0.018780;0.981109
0.018810;2.597302
0.018840;3.591770
0.018870;4.217819
0.018900;4.278500
0.018930;3.619053
0.018960;2.709016
0.018990;2.286204
0.019020;2.216777
0.019050;2.357081
0.019080;2.574675
0.019110;3.661508
0.019140;4.453189
0.019170;4.585742
0.019200;4.529724
0.019230;4.683230
0.019260;4.820855
0.019290;4.576359
0.019320;4.453839
0.019350;4.367939
0.019380;4.184152
0.019410;3.846386
0.019440;3.401515
0.019470;3.064421
0.019500;2.988117
0.019530;2.583079
0.019560;2.226554
0.019590;2.247227
0.019620;2.089417
0.019650;1.200282
0.019680;0.621322
0.019710;0.626791
0.019740;0.623693
0.019770;0.424540
0.019800;0.668959
0.019830;1.022304
0.019860;1.117908
0.019890;0.633030
0.019920;-0.312094
0.019950;-1.469205
0.019980;-2.783853
0.020010;-4.357743
0.020040;-5.869843
0.020070;-6.824957
0.020100;-6.964149
0.020130;-6.396943
0.020160;-5.163982
0.020190;-3.472079
0.020220;-1.739506
0.020250;0.086633
0.020280;1.184773
0.020310;1.434587
0.020340;0.624681
0.020370;-1.064089
0.020400;-3.200212
0.020430;-5.238275
0.020460;-7.139044
0.020490;-7.890195
