Time [s];Acceleration [m/s²]
0.009060;14.162156
0.009090;24.763769
0.009120;28.975820
0.009150;25.157511
0.009180;11.783294
0.009210;-6.759150
0.009240;-22.593316
0.009270;-32.489769
0.009300;-37.530147
0.009330;-34.681244
0.009360;-23.247101
0.009390;-10.187698
0.009420;0.777764
0.009450;10.465046
0.009480;17.677808
0.009510;20.427728
0.009540;18.452371
0.009570;12.431816
0.009600;2.804820
0.009630;-7.666605
0.009660;-15.096307
0.009690;-19.237270
0.009720;-19.017795
0.009750;-11.645060
0.009780;0.388777
0.009810;12.357777
0.009840;22.209800
0.009870;26.496478
0.009900;25.155977
0.009930;19.478819
0.009960;7.170047
0.009990;-9.532209
0.010020;-20.531171
0.010050;-23.059937
0.010080;-21.152833
0.010110;-15.086100
0.010140;-7.061312
0.010170;-0.005821
0.010200;8.884646
0.010230;13.437939
0.010260;8.483240
0.010290;4.953502
0.010320;5.660390
0.010350;-3.385437
0.010380;-10.951889
0.010410;-0.133648
0.010440;0.320762
0.010470;-20.260198
0.010500;-29.973183
0.010530;-28.032714
0.010560;-26.798004
0.010590;-19.128339
0.010620;1.904272
0.010650;26.282689
0.010680;41.370349
0.010710;47.361253
0.010740;44.609529
0.010770;34.110420
0.010800;8.493671
0.010830;-23.236654
0.010860;-43.200538
0.010890;-57.051233
0.010920;-62.459451
0.010950;-49.925449
0.010980;-21.230222
0.011010;3.638826
0.011040;17.169387
0.011070;28.597300
0.011100;33.852402
0.011130;26.970290
0.011160;14.023610
0.011190;5.810315
0.011220;3.738398
0.011250;-1.767148
0.011280;-5.679929
0.011310;-4.411005
0.011340;-4.566216
0.011370;-10.769480
0.011400;-16.653808
0.011430;-16.447463
0.011460;-12.284709
0.011490;-7.893736
0.011520;0.255564
0.011550;12.216540
0.011580;21.512210
0.011610;24.814019
0.011640;24.823878
0.011670;21.512114
0.011700;14.691428
0.011730;5.471920
0.011760;-3.214029
0.011790;-9.466229
0.011820;-15.409244
0.011850;-19.905200
0.011880;-19.109997
0.011910;-14.524891
0.011940;-8.140061
0.011970;-0.036974
0.012000;9.479096
0.012030;16.371496
0.012060;16.633766
0.012090;11.728111
0.012120;5.442561
0.012150;-2.643542
0.012180;-12.210801
0.012210;-18.982633
0.012240;-20.580882
0.012270;-18.308196
0.012300;-13.535050
0.012330;-6.383214
0.012360;0.963765
0.012390;6.448738
0.012420;9.634799
0.012450;10.324161
0.012480;9.353576
0.012510;6.897473
0.012540;4.240769
0.012570;4.036446
0.012600;4.871332
0.012630;5.001959
0.012660;5.974086
0.012690;6.686603
0.012720;6.592737
0.012750;6.232804
0.012780;5.980381
0.012810;6.431050
0.012840;8.595078
0.012870;11.142081
0.012900;14.340476
0.012930;17.584295
0.012960;18.379583
0.012990;16.605058
0.013020;12.895438
0.013050;7.108643
0.013080;0.221061
0.013110;-6.733318
0.013140;-11.069730
0.013170;-10.499924
0.013200;-7.274702
0.013230;-2.936843
0.013260;2.660950
0.013290;8.580388
0.013320;12.136543
0.013350;12.089330
0.013380;9.221970
0.013410;5.059053
0.013440;-0.365797
0.013470;-5.971008
0.013500;-9.849997
0.013530;-11.242643
0.013560;-12.471458
0.013590;-13.573319
0.013620;-12.825241
0.013650;-10.984719
0.013680;-8.864110
0.013710;-5.753822
0.013740;-1.800346
0.013770;2.402818
0.013800;5.317720
0.013830;6.175265
0.013860;5.225907
0.013890;2.137426
0.013920;-3.247267
0.013950;-8.722085
0.013980;-12.583514
0.014010;-15.434788
0.014040;-16.083077
0.014070;-13.625022
0.014100;-8.717255
0.014130;-3.635831
0.014160;1.309766
0.014190;5.841273
0.014220;8.961662
0.014250;9.514756
0.014280;8.561796
0.014310;7.089897
0.014340;5.002996
0.014370;1.790231
0.014400;-0.975964
0.014430;-3.166947
0.014460;-5.170269
0.014490;-6.824384
0.014520;-7.116221
0.014550;-6.241949
0.014580;-4.328819
0.014610;-1.404576
0.014640;2.882253
0.014670;6.444991
0.014700;7.155540
0.014730;6.198169
0.014760;4.723422
0.014790;1.457093
0.014820;-3.073731
0.014850;-6.653242
0.014880;-9.006404
0.014910;-11.126932
0.014940;-12.408564
0.014970;-12.376026
0.015000;-10.785724
0.015030;-8.153876
0.015060;-5.258545
0.015090;-1.972982
0.015120;1.012927
0.015150;2.621186
0.015180;2.842491
0.015210;1.353231
0.015240;-1.620263
0.015270;-4.809462
0.015300;-7.722354
0.015330;-9.440977
0.015360;-9.437972
0.015390;-7.836939
0.015420;-5.172371
0.015450;-2.083723
0.015480;-0.196303
0.015510;0.451741
0.015540;0.949844
0.015570;1.193175
0.015600;1.261630
0.015630;1.815459
0.015660;2.699211
0.015690;3.494747
0.015720;4.195579
0.015750;4.347783
0.015780;4.337423
0.015810;4.203786
0.015840;3.366765
0.015870;1.716633
0.015900;1.096761
0.015930;2.208201
0.015960;3.881978
0.015990;5.255069
0.016020;6.404700
0.016050;7.175133
0.016080;6.959580
0.016110;5.523275
0.016140;3.613123
0.016170;2.187971
0.016200;1.294357
0.016230;1.209512
0.016260;2.166127
0.016290;3.455670
0.016320;4.739062
0.016350;5.663412
0.016380;5.858480
0.016410;5.284063
0.016440;4.751302
0.016470;4.357992
0.016500;3.481848
0.016530;2.525155
0.016560;1.859551
0.016590;1.129068
0.016620;0.384584
0.016650;0.589159
0.016680;1.295258
0.016710;1.973496
0.016740;2.476791
0.016770;2.647161
0.016800;1.850836
0.016830;0.338466
0.016860;-1.408424
0.016890;-3.179066
0.016920;-4.380477
0.016950;-4.342563
0.016980;-3.195207
0.017010;-2.112765
0.017040;-1.594243
0.017070;-1.467632
0.017100;-1.892161
0.017130;-2.964889
0.017160;-4.375327
0.017190;-5.566810
0.017220;-6.312250
0.017250;-6.270071
0.017280;-5.220840
0.017310;-3.434690
0.017340;-1.404671
0.017370;-0.000906
