Time;A_P1;A_P2;B;C;D;E;F
0.001920;-5.312357;-5.220367;-4.479621;-1.084210;-0.647131;2.957157;15.058860
0.001950;-4.809554;-7.315412;-6.443133;-1.746171;-1.156007;7.517119;-2.152512
0.001980;-3.345479;-8.548979;-8.598163;-2.453675;-0.823807;9.991474;-20.967583
0.002010;-1.585705;-8.995997;-10.347303;-3.129213;0.085720;10.055260;-42.774885
0.002040;-0.211543;-8.627933;-10.997446;-3.270568;0.976036;7.706839;-76.713070
0.002070;0.274765;-7.300970;-9.795980;-3.059403;1.526617;3.066382;-113.492758
0.002100;0.403591;-5.289519;-6.996405;-2.884015;1.432677;-2.258487;-147.553062
0.002130;0.154010;-3.096287;-3.662987;-2.631475;0.591789;-6.816138;-161.801038
0.002160;-0.524100;-0.945791;-0.754918;-1.786016;-0.547896;-9.963553;-124.852946
0.002190;-1.124955;0.456982;1.526012;-0.753836;-2.168900;-11.224655;-48.330341
0.002220;-1.089730;0.932835;2.207528;-0.124469;-3.670181;-10.545295;20.608063
0.002250;-0.504033;0.558153;0.885942;0.428124;-4.768525;-8.186418;72.636034
0.002280;-0.103012;-0.250035;-2.099182;0.997449;-5.182636;-4.440896;113.824978
0.002310;-0.155883;-1.782119;-5.183719;1.522069;-4.956744;0.097464;122.925926
0.002340;-0.551525;-3.617486;-6.863725;1.489413;-4.113901;4.801128;101.855608
0.002370;-1.377696;-5.154649;-6.528815;1.063637;-3.417026;8.770982;79.163467
0.002400;-2.739695;-6.440629;-4.681614;0.914294;-2.749006;11.842243;61.231885
0.002430;-3.734181;-6.923056;-1.734801;1.107953;-1.792356;13.176543;45.413793
0.002460;-3.975635;-6.590480;1.695361;0.992757;-1.011312;12.641121;26.105260
0.002490;-3.570352;-5.326643;3.665792;0.366796;-0.929033;11.069899;6.293738
0.002520;-2.754505;-3.380890;3.833484;-0.393628;-1.371009;8.946557;-1.705329
0.002550;-1.054016;-1.540101;2.251132;-1.245839;-1.835237;6.277698;2.523588
0.002580;1.056112;-0.281577;-0.108796;-1.919831;-2.262785;3.771435;2.211889
0.002610;3.034296;0.385551;-2.125477;-2.596353;-3.378951;1.665694;-18.646766
0.002640;4.454123;0.718650;-2.503818;-2.494234;-4.776765;0.240078;-41.189770
0.002670;5.216115;0.581291;-0.973481;-1.256978;-5.421190;-0.668822;-43.530182
0.002700;5.018555;0.082832;1.745155;0.521701;-5.964146;-1.048613;-43.825981
0.002730;3.839594;-0.241272;4.223221;2.037213;-6.658831;-1.054069;-48.507916
0.002760;1.627629;-0.441618;5.628949;3.137466;-6.630699;-0.636440;-45.879844
0.002790;-0.790507;-0.315361;5.909342;3.028196;-5.426351;0.293675;-35.031851
0.002820;-2.678537;0.210215;5.182748;1.700821;-4.516316;1.876102;-14.452190
0.002850;-3.584055;1.229218;3.314039;-0.267815;-3.345779;3.979611;13.731050
0.002880;-3.713401;2.354294;1.692632;-2.366375;-1.503411;6.485114;45.811634
0.002910;-2.825200;3.041291;1.117815;-4.083705;0.192933;9.551554;77.458583
0.002940;-0.994898;2.931099;1.176973;-4.199440;1.181149;12.300403;93.223845
0.002970;0.590379;2.184590;1.384996;-3.228756;2.150311;14.099631;82.875327
