Time [s];Acceleration [m/s²]
0.000000;-8.439848
0.000030;-8.270332
0.000060;-7.559020
0.000090;-6.261887
0.000120;-4.681169
0.000150;-2.841743
0.000180;-0.820236
0.000210;0.985161
0.000240;2.455454
0.000270;3.473013
0.000300;3.712847
0.000330;2.477136
0.000360;0.804577
0.000390;-0.657059
0.000420;-2.707990
0.000450;-5.256199
0.000480;-6.741034
0.000510;-6.709900
0.000540;-6.044910
0.000570;-4.862528
0.000600;-2.506360
0.000630;0.221038
0.000660;2.919116
0.000690;5.342347
0.000720;6.449210
0.000750;6.290840
0.000780;5.331394
0.000810;3.581857
0.000840;1.783052
0.000870;0.823849
0.000900;1.007151
0.000930;1.760372
0.000960;2.866152
0.000990;4.250714
0.001020;5.129982
0.001050;4.882942
0.001080;4.343465
0.001110;3.947585
0.001140;2.245371
0.001170;0.976752
0.001200;1.578660
0.001230;1.586473
0.001260;0.628892
0.001290;1.553504
0.001320;4.327107
0.001350;6.140500
0.001380;6.611158
0.001410;6.856021
0.001440;6.160552
0.001470;3.942595
0.001500;1.720539
0.001530;-0.103908
0.001560;-1.389070
0.001590;-1.994723
0.001620;-2.007353
0.001650;-1.324927
0.001680;0.440765
0.001710;1.874562
0.001740;2.511054
0.001770;2.895829
0.001800;2.532759
0.001830;0.904816
0.001860;-1.080784
0.001890;-3.047429
0.001920;-5.220367
0.001950;-7.315412
0.001980;-8.548979
0.002010;-8.995997
0.002040;-8.627933
0.002070;-7.300970
0.002100;-5.289519
0.002130;-3.096287
0.002160;-0.945791
0.002190;0.456982
0.002220;0.932835
0.002250;0.558153
0.002280;-0.250035
0.002310;-1.782119
0.002340;-3.617486
0.002370;-5.154649
0.002400;-6.440629
0.002430;-6.923056
0.002460;-6.590480
0.002490;-5.326643
0.002520;-3.380890
0.002550;-1.540101
0.002580;-0.281577
0.002610;0.385551
0.002640;0.718650
0.002670;0.581291
0.002700;0.082832
0.002730;-0.241272
0.002760;-0.441618
0.002790;-0.315361
0.002820;0.210215
0.002850;1.229218
0.002880;2.354294
0.002910;3.041291
0.002940;2.931099
0.002970;2.184590
0.003000;1.449527
0.003030;0.757978
0.003060;-0.081796
0.003090;-0.761245
0.003120;-0.326508
0.003150;0.669963
0.003180;2.123524
0.003210;3.845551
0.003240;5.748498
0.003270;6.946454
0.003300;7.108256
0.003330;6.169691
0.003360;4.741757
0.003390;3.016093
0.003420;1.630434
0.003450;0.734181
0.003480;0.819521
